node_id,time_days,latitude,longitude,magnitude,degree,frc_unweighted,frc_weighted,parent_idx,parent_dist_km
aftershock_0035,0.008330810185185186,9.2727,-68.0187,2.5,1,-257.0,-6799217.904957577,1,171.12747271929956
aftershock_0036,0.009290914351851852,10.4514,-68.5272,2.5,1,-208.0,-756729.5730372067,0,9.478683119861303
aftershock_0037,0.009558842592592593,10.4252,-68.5089,2.7,1,-208.0,-691294.1849305574,0,7.928271766844131
aftershock_0038,0.010347071759259259,10.6325,-67.8648,3.2,1,-257.0,-4356770.502892051,1,70.47934688337561
aftershock_0039,0.010571956018518519,10.8769,-67.2601,4.3,1,-257.0,-2907632.35363723,1,31.525391342662537
aftershock_0040,0.010688113425925926,10.6442,-67.8126,2.6,1,-257.0,-4179296.885669739,1,64.87785367964692
aftershock_0041,0.010985266203703704,10.2258,-68.5556,2.9,1,-208.0,-990431.3102809845,0,16.145562655032702
aftershock_0042,0.011182025462962963,10.7048,-67.1951,2.7,1,-257.0,-1818400.0222186616,1,12.424676987142998
aftershock_0043,0.011229456018518519,10.7765,-67.0729,3.9,1,-257.0,-2627664.112687025,1,25.781800189478528
aftershock_0044,0.011326435185185186,10.4189,-68.5066,3.3,1,-208.0,-676044.0665601789,0,7.586820800349704
aftershock_0045,0.011796585648148148,10.8842,-67.7055,3.3,1,-257.0,-4081009.228248533,1,61.8754431850299
aftershock_0046,0.012086053240740741,10.4697,-68.5478,2.8,1,-208.0,-816339.7347868765,0,11.01151536833703
aftershock_0047,0.012661412037037037,9.9879,-68.6262,2.7,1,-208.0,-1627552.318322973,0,43.28607375212364
aftershock_0048,0.013096701388888889,10.5192,-67.8147,2.6,1,-257.0,-4198033.601506267,1,65.4582797564972
aftershock_0049,0.013220416666666667,10.5417,-67.0656,2.5,1,-257.0,-2194202.618127576,1,18.027721462971666
aftershock_0050,0.013227210648148148,10.5889,-68.3732,3.3,1,-208.0,-1385051.2670974543,0,31.409498431238404
aftershock_0051,0.013370289351851852,10.5208,-68.5336,3.2,1,-208.0,-1011585.2465050106,0,16.836140472324924
aftershock_0052,0.013475243055555556,10.6607,-68.4884,5.9,9,-264.0,-1426925.7099544564,0,33.05008507126207
aftershock_0053,0.014130729166666666,10.1214,-68.645,4.9,1,-208.0,-1340017.9835729615,0,29.413216919810957
aftershock_0054,0.014511527777777778,10.3122,-68.4339,2.8,1,-208.0,-950158.057255967,0,14.87080195566279
aftershock_0055,0.01470744212962963,10.654,-67.8179,3.1,1,-257.0,-4201061.217279452,1,65.55231184356121
aftershock_0056,0.014724722222222222,10.548,-67.2497,3.7,1,-257.0,-1278082.8302333888,1,6.1910347774022805
aftershock_0057,0.015116770833333333,10.3621,-67.2649,3.3,1,-257.0,-2661623.356038849,1,26.4477237518756
aftershock_0058,0.01524125,10.7176,-67.1312,2.6,1,-257.0,-2111597.136316561,1,16.706950443304383
aftershock_0059,0.015308287037037037,10.2093,-68.5275,2.7,1,-208.0,-1053540.8796271852,0,18.248581761009135
aftershock_0060,0.015409155092592592,10.7392,-67.1437,2.6,1,-257.0,-2194024.744870396,1,18.02482348987828
aftershock_0061,0.01601369212962963,10.3253,-68.4659,3.8,1,-208.0,-819225.1736237761,0,11.088626107333932
aftershock_0062,0.01612449074074074,10.2708,-68.5654,2.9,1,-208.0,-822969.2839588583,0,11.189085140152507
aftershock_0063,0.01616079861111111,10.5869,-67.1617,2.6,1,-257.0,-1316169.9138717952,1,6.560027919564031
aftershock_0064,0.01682726851851852,10.341,-67.8743,3.0,1,-257.0,-4550424.579281491,1,76.85612780552015
aftershock_0065,0.016906168981481482,10.7561,-67.2991,2.9,1,-257.0,-2297036.234859263,1,19.742119443889145
aftershock_0066,0.016986203703703705,10.3677,-68.4394,2.7,1,-208.0,-879427.7331575566,0,12.758855017048827
aftershock_0067,0.017367858796296296,10.8608,-67.1983,2.5,1,-257.0,-2814402.414551004,1,29.548673049137122
aftershock_0068,0.01849310185185185,10.2882,-68.5997,3.0,1,-208.0,-792087.583878217,0,10.37403305540749
aftershock_0069,0.019015034722222223,10.7663,-68.4519,2.8,1,-6.0,-882.1852855463961,53,12.400886532579133
aftershock_0070,0.019294872685185184,10.7872,-67.2416,3.1,1,-257.0,-2391144.767393353,1,21.379286843395956
aftershock_0071,0.019857314814814814,10.4047,-68.5518,2.8,1,-208.0,-474185.41524284106,0,3.775319928691781
aftershock_0072,0.02045869212962963,10.9584,-67.2602,3.3,1,-257.0,-3299093.7437178134,1,40.52390220326588
aftershock_0073,0.020510243055555554,10.141,-68.5081,2.8,1,-208.0,-1261913.9359032444,0,26.10635060133132
aftershock_0074,0.020763090277777778,10.9102,-67.2681,2.8,1,-257.0,-3078497.1430315506,1,35.31429360227075
aftershock_0075,0.020880439814814813,10.1315,-68.5764,3.4,1,-208.0,-1276876.0356039933,0,26.72456861932811
aftershock_0076,0.021044224537037037,10.4132,-68.4767,2.7,1,-208.0,-772028.2610002134,0,9.861124081945166
aftershock_0077,0.021212465277777776,10.8091,-67.8363,2.6,1,-257.0,-4381607.526792235,1,71.28176190343098
aftershock_0078,0.021413414351851852,10.177,-68.5477,2.5,1,-208.0,-1146773.249341564,0,21.59092208430854
aftershock_0079,0.021483842592592593,10.3657,-68.6093,3.1,1,-208.0,-593013.9351943276,0,5.8596243828182795
aftershock_0080,0.02205298611111111,10.4713,-67.3276,2.9,1,-257.0,-2199417.402268246,1,18.112786069092405
aftershock_0081,0.02340101851851852,10.6945,-67.1346,3.0,1,-257.0,-1963215.9625125723,1,14.460673252478598
aftershock_0082,0.0263609375,10.532,-67.2506,2.6,1,-257.0,-1438506.8968073614,1,7.817494505174823
aftershock_0083,0.026943263888888888,9.8883,-68.5993,2.6,1,-208.0,-1816931.4629080908,0,53.88265362661063
aftershock_0084,0.02711898148148148,10.4257,-68.4113,2.5,1,-208.0,-1015159.3714462491,0,16.95424716962902
aftershock_0085,0.027370381944444445,10.1983,-67.2515,2.7,1,-257.0,-3452104.385914951,1,44.34785437991708
aftershock_0086,0.02799517361111111,10.6462,-67.0812,2.9,1,-257.0,-2083326.1944630265,1,16.26646861283432
aftershock_0087,0.02857820601851852,10.3917,-67.2737,2.7,1,-257.0,-2504425.0611638324,1,23.43646435627474
aftershock_0088,0.032134560185185186,10.9177,-67.1711,2.7,1,-257.0,-3116419.534219794,1,36.18436569651837
aftershock_0089,0.03214259259259259,10.527,-67.2399,3.5,1,-257.0,-1450411.236423318,1,7.945738694350377
aftershock_0090,0.03228206018518519,10.2582,-68.564,2.7,1,-208.0,-872941.8334382799,0,12.573283980568652
aftershock_0091,0.033763368055555555,10.3309,-68.4438,2.8,1,-208.0,-889781.8114874285,0,13.05791768315382
aftershock_0092,0.03390574074074074,10.7259,-67.2429,3.1,1,-257.0,-1975544.0106424685,1,14.64112752739839
aftershock_0093,0.034046516203703706,10.0978,-67.4974,2.7,1,-257.0,-4121734.5177726853,1,63.11085544358745
aftershock_0094,0.03450032407407407,10.4689,-68.5501,2.9,1,-208.0,-812340.6575835863,0,10.905088516565295
aftershock_0095,0.0368428587962963,10.4231,-68.451,3.3,1,-208.0,-883022.6380663771,0,12.86229605207841
aftershock_0096,0.03722104166666667,10.3435,-68.5577,3.7,1,-208.0,-426238.220594029,0,3.0635091983579095
aftershock_0097,0.038215659722222226,10.4867,-67.9505,2.6,1,-257.0,-4662374.946566565,1,80.66846533015533
aftershock_0098,0.038250324074074075,10.6922,-67.2623,3.6,1,-257.0,-1757158.228867539,1,11.61012238896048
aftershock_0099,0.03865402777777778,10.1509,-68.638,2.8,1,-208.0,-1260949.9264219091,0,26.066766843538552
aftershock_0100,0.03970121527777778,10.6752,-67.1822,2.6,1,-257.0,-1610713.4760292314,1,9.774280545852497
aftershock_0101,0.039828055555555554,10.6099,-67.9,2.8,1,-257.0,-4471633.332885572,1,74.22831421131691
aftershock_0102,0.04154758101851852,10.4594,-68.5567,4.1,1,-208.0,-770791.6367770489,0,9.829929615145092
aftershock_0103,0.04217993055555556,10.7925,-67.2112,2.8,1,-257.0,-2418980.238779817,1,21.876025029297594
aftershock_0104,0.042766574074074075,10.3116,-68.4998,2.7,1,-208.0,-738103.0219606414,0,9.02326177776373
aftershock_0105,0.04344722222222222,10.076,-68.4517,2.9,1,-208.0,-1456926.1494532684,0,34.73142317324087
aftershock_0106,0.0434684375,10.6997,-68.4029,2.6,1,-208.0,-1568121.9370957168,0,40.1996366634636
aftershock_0107,0.04714875,10.3995,-68.4521,2.5,1,-208.0,-845294.2045763665,0,11.79749383049482
aftershock_0108,0.04738896990740741,11.0047,-67.1984,2.6,1,-257.0,-3497378.1402352024,1,45.51235824991534
aftershock_0109,0.04747321759259259,10.4834,-67.2191,2.6,1,-257.0,-1825601.1877400356,1,12.522271458379882
aftershock_0110,0.04868643518518519,10.0486,-68.619,2.6,1,-208.0,-1493917.453291247,0,36.50616794975388
aftershock_0111,0.04911732638888889,10.7811,-67.209,2.6,1,-257.0,-2348188.385535956,1,20.62390322614679
aftershock_0112,0.05509636574074074,10.6086,-67.789,2.9,1,-257.0,-4088318.394559049,1,62.09626945924095
aftershock_0113,0.05683636574074074,10.3651,-67.1715,2.6,1,-257.0,-2651034.5344252074,1,26.239171304862307
aftershock_0114,0.06008929398148148,10.4531,-67.2912,2.7,1,-257.0,-2170652.032589735,1,17.64605348870158
aftershock_0115,0.06088081018518519,10.4262,-67.1178,3.4,1,-257.0,-2425611.2179415794,1,21.995199600722863
aftershock_0116,0.06124181712962963,10.5605,-67.2145,2.8,1,-257.0,-1025057.668298736,1,4.010849145742372
aftershock_0117,0.06244774305555555,10.6297,-67.1281,3.0,1,-257.0,-1695881.0973806125,1,10.822735728920598
aftershock_0118,0.06323762731481482,10.5823,-67.212,2.6,1,-257.0,-683102.9079863209,1,1.8133797972769314
aftershock_0119,0.06371513888888888,10.8991,-67.7956,2.6,1,-257.0,-4380547.478076794,1,71.24742189156525
aftershock_0120,0.06855060185185186,10.4423,-68.4018,2.5,1,-208.0,-1064729.5146681706,0,18.634856552606063
aftershock_0121,0.06878,10.5386,-67.2642,2.6,1,-257.0,-1449837.2669784122,1,7.939531441788066
aftershock_0122,0.06992592592592592,10.2151,-68.5093,2.6,1,-208.0,-1048402.3152021941,0,18.072534398682212
aftershock_0123,0.07131068287037037,10.6518,-67.1353,2.6,1,-257.0,-1728218.5161769744,1,11.234813527801263
aftershock_0124,0.07143451388888888,10.1084,-68.5847,2.5,1,-208.0,-1338984.7064278363,0,29.3681819165586
aftershock_0125,0.0726237037037037,10.6522,-68.5491,2.6,1,-6.0,-608.3990640384077,53,6.700126658451113
aftershock_0126,0.07497143518518519,10.4271,-68.4846,2.8,1,-208.0,-777297.8648836934,0,9.99460647177072
aftershock_0127,0.07597006944444444,10.6162,-67.7868,2.6,1,-257.0,-4081160.851269139,1,61.88002006049863
aftershock_0128,0.07658370370370371,10.1171,-67.3256,2.7,1,-257.0,-3827738.1905727293,1,54.46652832639322
aftershock_0129,0.07758635416666666,10.1241,-68.5,2.8,1,-208.0,-1310248.23879329,0,28.129537261638816
aftershock_0130,0.08171203703703704,10.5523,-67.225,3.0,1,-257.0,-1132477.2598119918,1,4.878849197446265
aftershock_0131,0.08228799768518519,10.6578,-67.9262,2.5,1,-257.0,-4565836.833019848,1,77.37549622389879
aftershock_0132,0.08681890046296296,10.3045,-67.371,3.2,1,-257.0,-3122602.3421534826,1,36.32722480887161
aftershock_0133,0.09096925925925926,10.6164,-67.1487,2.9,1,-257.0,-1475658.8400840084,1,8.221181505286658
aftershock_0134,0.09135886574074074,10.7598,-67.1639,2.5,1,-257.0,-2268154.713815986,1,19.252756260629855
aftershock_0135,0.09702109953703704,10.9217,-67.0569,3.4,1,-257.0,-3294425.9725199398,1,40.40995758119698
aftershock_0136,0.09805193287037037,10.0778,-68.6254,3.5,1,-208.0,-1430167.5881392034,0,33.47518359301022
aftershock_0137,0.09872855324074074,10.4109,-67.2494,2.5,1,-257.0,-2359133.055453338,1,20.815074338197306
aftershock_0138,0.09885988425925926,10.7012,-67.2325,2.6,1,-257.0,-1768965.6084629835,1,11.765019249977197
aftershock_0139,0.09960822916666667,10.1288,-68.4883,3.2,1,-208.0,-1305598.5076986623,0,27.93162567647763
aftershock_0140,0.09975503472222222,10.3817,-67.7741,3.1,1,-257.0,-4183235.0444650473,1,64.9996354267016
aftershock_0141,0.10207142361111111,10.8253,-68.3508,2.6,1,-208.0,-1840304.1139203804,0,55.27080960241001
aftershock_0142,0.10280077546296296,10.609,-67.2042,2.6,1,-257.0,-778001.0630516402,1,2.3369065025829805
aftershock_0143,0.10349898148148148,10.4994,-68.5137,2.7,1,-208.0,-954575.9822793013,0,15.008081995343636
aftershock_0144,0.1062429050925926,10.3244,-68.5407,2.8,1,-208.0,-571330.7655546652,0,5.4452569452657
aftershock_0145,0.10752802083333333,10.3827,-68.5081,2.9,1,-208.0,-568818.8806943152,0,5.398236583115329
aftershock_0146,0.10833130787037037,10.5479,-67.8368,2.7,1,-257.0,-4264041.161387391,1,67.52365586165995
aftershock_0147,0.10927363425925926,10.4399,-67.2659,2.8,1,-257.0,-2194850.8826151425,1,18.038285185492676
aftershock_0148,0.10961226851851852,10.3775,-68.4615,3.1,1,-208.0,-791598.8454996825,0,10.361381656529293
aftershock_0149,0.11037737268518519,10.4806,-68.4838,2.5,1,-208.0,-938813.4959953007,0,14.521177066403155
aftershock_0150,0.1162750462962963,10.423,-67.1644,2.6,1,-257.0,-2324172.675978244,1,20.20751046843587
aftershock_0151,0.1194750462962963,10.7227,-67.0872,3.0,1,-257.0,-2329771.767883502,1,20.304209869146344
aftershock_0152,0.11983341435185185,10.4582,-68.4715,3.4,1,-208.0,-901297.8004576606,0,13.394610035213644
aftershock_0153,0.12613355324074074,10.2436,-68.4973,2.8,1,-208.0,-971942.5918325278,0,15.553835070526528
aftershock_0154,0.12687380787037036,10.2128,-68.5041,2.8,1,-208.0,-1060395.6080396047,0,18.484753361138306
aftershock_0155,0.12959462962962964,10.2182,-67.3322,2.5,1,-257.0,-3428013.532737634,1,43.73435608292091
aftershock_0156,0.13228640046296297,10.8516,-68.3318,2.7,1,-208.0,-1898277.2862531156,0,58.790178676993676
aftershock_0157,0.13343649305555555,10.6284,-68.4351,2.8,1,-6.0,-616.4798805920881,53,6.843005887372992
aftershock_0158,0.1344783449074074,10.5291,-68.4368,2.6,1,-208.0,-1154619.3299949514,0,21.8850156763044
aftershock_0159,0.13484237268518517,10.5487,-68.42,2.6,1,-208.0,-1227959.4699471516,0,24.73022717301178
aftershock_0160,0.13563819444444444,10.1275,-68.5418,2.7,1,-208.0,-1286367.8283699672,0,27.120510057594394
aftershock_0161,0.13643245370370372,9.9668,-68.6966,2.5,1,-208.0,-1705484.4759534146,0,47.5063626718162
aftershock_0162,0.13882497685185186,10.3595,-68.4913,2.7,1,-208.0,-657953.0250018183,0,7.191507540090937
aftershock_0163,0.1390983912037037,10.1567,-68.3989,2.6,1,-208.0,-1339298.079914361,0,29.38183653892186
aftershock_0164,0.14131391203703703,10.5456,-67.8045,2.7,1,-257.0,-4151673.409091002,1,64.02684815210873
aftershock_0165,0.14147969907407407,10.1856,-67.2442,2.6,1,-257.0,-3504807.2721667774,1,45.70488727557617
aftershock_0166,0.14155799768518518,10.8449,-67.2096,3.4,1,-257.0,-2724564.866021389,1,27.704428041476806
aftershock_0167,0.14528965277777778,10.438,-67.2405,2.9,1,-257.0,-2173851.8652175665,1,17.697671225952007
aftershock_0168,0.14789605324074073,10.6405,-67.336,3.0,1,-257.0,-1896776.8041742335,1,13.507422055750451
aftershock_0169,0.15600586805555555,10.4166,-68.4641,3.1,1,-208.0,-825515.7864325391,0,11.25766973769704
aftershock_0170,0.15647710648148147,10.6639,-68.5213,2.8,1,-6.0,-405.47369189787673,53,3.6127169985983216
aftershock_0171,0.1577671412037037,10.4791,-67.1903,2.5,1,-257.0,-1890920.2638011237,1,13.424952676707816
aftershock_0172,0.16000248842592593,10.4309,-67.3006,2.8,1,-257.0,-2330482.7697136276,1,20.316505778748766
aftershock_0173,0.16033626157407407,10.2732,-67.2219,2.9,1,-257.0,-3103808.841396056,1,35.893857254368754
aftershock_0174,0.17101695601851852,10.3685,-67.2732,3.1,1,-257.0,-2635398.4928571624,1,25.932720757969598
aftershock_0175,0.1733392013888889,10.7041,-68.5507,2.7,1,-208.0,-1504940.1808415328,0,37.04356144773592
aftershock_0176,0.18040724537037037,10.7475,-67.148,2.6,1,-257.0,-2231417.9475842975,1,18.639169565931475
aftershock_0177,0.18152283564814814,10.2639,-67.8231,2.6,1,-257.0,-4509708.646416665,1,75.49247917330827
aftershock_0178,0.18399351851851853,10.0986,-67.2727,2.7,1,-257.0,-3867440.823062009,1,55.59672955760622
aftershock_0179,0.18548865740740741,10.0259,-67.9764,2.9,1,-257.0,-5300297.558839017,1,104.15328901691583
aftershock_0180,0.1865153472222222,10.6661,-67.1765,2.8,1,-257.0,-1561042.5042340534,1,9.18746237233026
aftershock_0181,0.19164418981481482,10.9091,-67.1355,2.7,1,-257.0,-3110431.059598933,1,36.04626515348442
aftershock_0182,0.19581710648148148,10.7903,-67.1793,4.3,1,-257.0,-2430340.118940653,1,22.080387036464153
aftershock_0183,0.19791784722222222,10.4467,-67.8515,2.9,1,-257.0,-4369828.211874158,1,70.90063880733129
aftershock_0184,0.19802288194444445,10.5081,-68.5511,2.6,1,-208.0,-962447.4496476396,0,15.254238503188997
aftershock_0185,0.2017642013888889,11.2021,-67.1703,2.5,1,-257.0,-4267165.811509509,1,67.62222140461121
aftershock_0186,0.2025340509259259,10.6292,-67.2484,2.6,1,-257.0,-1117597.9468367877,1,4.753548581421657
aftershock_0187,0.20474094907407409,10.4465,-67.2611,2.6,1,-257.0,-2142299.9524188437,1,17.191988327528048
aftershock_0188,0.20840532407407408,10.3636,-68.4884,2.6,1,-208.0,-669367.8148075672,0,7.4397044729944355
aftershock_0189,0.20884771990740741,10.6497,-67.0917,2.6,1,-257.0,-2022645.36282036,1,15.340887849021746
aftershock_0190,0.20896695601851853,10.6959,-68.5154,2.6,1,-6.0,-498.0039647734129,53,4.901427041522865
aftershock_0191,0.20939180555555556,10.2153,-67.1892,2.6,1,-257.0,-3378007.0836706366,1,42.47453162161156
aftershock_0192,0.21056944444444445,10.2122,-67.9849,3.4,1,-208.0,-1995388.6156061997,0,64.92887850286436
aftershock_0193,0.21169405092592591,9.9071,-68.025,2.5,1,-208.0,-2183841.7377434103,0,77.7112337913691
aftershock_0194,0.22694046296296297,10.1914,-68.4385,2.8,1,-208.0,-1203209.4104572297,0,23.75062238428453
aftershock_0195,0.22874144675925925,10.6362,-67.1342,2.7,1,-257.0,-1669069.126116839,1,10.486907313213306
aftershock_0196,0.22988266203703703,10.3219,-68.6024,4.2,1,-208.0,-670041.1457236323,0,7.4544765262238055
aftershock_0197,0.23249119212962963,11.0292,-67.1923,2.5,1,-257.0,-3602390.6653818185,1,48.27152705384267
aftershock_0198,0.23342077546296297,10.802,-67.1062,2.7,1,-257.0,-2644741.3323420393,1,26.115614477626522
aftershock_0199,0.23438543981481483,10.605,-68.419,3.9,1,-208.0,-1353937.5956458098,0,30.023261398539592
aftershock_0200,0.24167796296296296,10.7608,-67.0905,3.3,1,-257.0,-2492713.016163879,1,23.219393585381514
aftershock_0201,0.25217525462962964,10.1859,-68.5242,3.2,1,-208.0,-1127424.5385915986,0,20.87417942056644
aftershock_0202,0.27377107638888887,10.2379,-67.191,2.6,1,-257.0,-3275674.6514284215,1,39.95383711894913
aftershock_0203,0.27686792824074075,10.5137,-67.2338,2.6,1,-257.0,-1567069.0389009549,1,9.257692221408345
aftershock_0204,0.28177847222222224,10.3237,-68.623,3.0,1,-208.0,-738002.1753361197,0,9.020826582192674
aftershock_0205,0.2926095601851852,10.0521,-68.4845,3.6,1,-208.0,-1489936.8237722574,0,36.31306450830094
aftershock_0206,0.297695,10.8015,-67.1874,2.8,1,-257.0,-2488610.072857811,1,23.143588606944427
aftershock_0207,0.30872824074074073,10.5918,-68.449,2.9,1,-208.0,-1288189.1797030068,0,27.196819018443552
aftershock_0208,0.31582638888888886,10.6887,-67.1012,2.6,1,-257.0,-2108784.3791914084,1,16.662862028783792
aftershock_0209,0.3169062268518518,10.4106,-68.4698,3.1,1,-208.0,-793299.0078746075,0,10.40542505146917
aftershock_0210,0.3185161458333333,10.5515,-67.1658,2.6,1,-257.0,-1437176.646804731,1,7.803228673318335
aftershock_0211,0.32055532407407406,10.6942,-67.1426,2.7,1,-257.0,-1922970.5311570095,1,13.879361826752005
aftershock_0212,0.3280985532407407,10.3953,-68.4894,2.7,1,-208.0,-684236.3278960146,0,7.769311716293108
aftershock_0213,0.3330680439814815,10.4446,-68.4734,2.8,1,-208.0,-859372.634850088,0,12.189446636395944
aftershock_0214,0.346795462962963,10.3819,-67.3446,2.6,1,-257.0,-2708209.426662934,1,27.375066682751022
aftershock_0215,0.3500433680555556,10.2559,-68.5193,2.6,1,-208.0,-901939.7346284193,0,13.413504339444765
aftershock_0216,0.3538721527777778,10.1326,-68.5867,2.9,1,-208.0,-1276786.7823421734,0,26.72085931945483
aftershock_0217,0.3737425462962963,10.4244,-68.4957,2.6,1,-208.0,-731903.5749782426,0,8.874171431727872
aftershock_0218,0.3969820138888889,10.3747,-68.404,2.9,1,-208.0,-1005331.9434764502,0,16.630493535813233
aftershock_0219,0.4039052314814815,10.3226,-67.2892,2.6,1,-257.0,-2897246.419551314,1,31.302014867368758
aftershock_0220,0.4281276041666667,11.2983,-67.6237,2.8,1,-257.0,-4915171.884910178,1,89.61663268848602
aftershock_0221,0.4386653472222222,10.2719,-68.4843,2.8,1,-208.0,-905749.8343428676,0,13.525922611909534
aftershock_0222,0.45123141203703704,10.4725,-67.1503,2.5,1,-257.0,-2050224.2515387197,1,15.7581951687249
aftershock_0223,0.4557635300925926,10.3795,-67.8755,2.7,1,-257.0,-4509993.332523346,1,75.50197143928284
aftershock_0224,0.4583155902777778,10.7513,-68.3674,2.6,1,-208.0,-1697141.4689499538,0,47.04517875885711
aftershock_0225,0.5176831018518518,10.2938,-68.6359,2.5,1,-208.0,-861558.4202804919,0,12.250874776433866
aftershock_0226,0.5267120717592593,10.3354,-67.2481,4.4,2,-257.0,-2794286.4344021063,1,29.128515753738277
aftershock_0227,0.5305245717592593,10.4336,-67.2252,2.7,1,-257.0,-2196421.5749351103,1,18.06389305975459
aftershock_0228,0.5309805671296296,10.4955,-68.4485,3.2,1,-208.0,-1051009.5537472581,0,18.161751821833374
aftershock_0229,0.5359762268518519,10.2309,-67.2718,2.6,1,-257.0,-3317535.203233553,1,40.975644242651285
aftershock_0230,0.5386624884259259,10.7417,-67.2378,3.0,1,-257.0,-2085799.9955278307,1,16.30477729923437
aftershock_0231,0.5419346990740741,10.3507,-67.2436,3.1,1,1.0,25.051423550471213,227,1.7710641140227847
aftershock_0232,0.5510004398148148,10.4807,-68.4874,2.9,1,-208.0,-932236.7796359855,0,14.320395550734412
aftershock_0233,0.5701790625,10.4628,-68.567,2.8,1,-208.0,-788383.2643239134,0,10.278336135843485
aftershock_0234,0.5753302662037038,10.487,-68.4835,2.7,1,-208.0,-958818.1157492992,0,15.140493205132485
aftershock_0235,0.575523912037037,10.5897,-68.5012,2.7,1,-208.0,-1235823.3006360054,0,25.04562104272406
aftershock_0236,0.5776400462962963,10.3297,-67.8595,3.6,1,-257.0,-4520037.8685246585,1,75.83726756502499
