id,time_utc,timestamp_ms,latitude,longitude,depth_km,magnitude,mag_type,place,segment
aftershock_0044,2026-06-24 22:20:49,1782354049604,10.4189,-68.5066,15.5,3.3,mb,Yaracuy Cluster,Yaracuy
aftershock_0045,2026-06-24 22:21:30,1782354090225,10.8842,-67.7055,10.6,3.3,mb,Corridor Cluster,Corridor
aftershock_0046,2026-06-24 22:21:55,1782354115235,10.4697,-68.5478,6.4,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0047,2026-06-24 22:22:44,1782354164946,9.9879,-68.6262,8.3,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0048,2026-06-24 22:23:22,1782354202555,10.5192,-67.8147,11.3,2.6,mb,Corridor Cluster,Corridor
aftershock_0049,2026-06-24 22:23:33,1782354213244,10.5417,-67.0656,12.6,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0050,2026-06-24 22:23:33,1782354213831,10.5889,-68.3732,3.0,3.3,mb,Yaracuy Cluster,Yaracuy
aftershock_0051,2026-06-24 22:23:46,1782354226193,10.5208,-68.5336,13.9,3.2,mb,Yaracuy Cluster,Yaracuy
aftershock_0052,2026-06-24 22:23:55,1782354235261,10.6607,-68.4884,9.7,5.9,Mw,Yaracuy Cluster,Yaracuy
aftershock_0053,2026-06-24 22:24:51,1782354291895,10.1214,-68.645,13.1,4.9,Mw,Yaracuy Cluster,Yaracuy
aftershock_0054,2026-06-24 22:25:24,1782354324796,10.3122,-68.4339,15.1,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0055,2026-06-24 22:25:41,1782354341723,10.654,-67.8179,10.9,3.1,mb,Corridor Cluster,Corridor
aftershock_0056,2026-06-24 22:25:43,1782354343216,10.548,-67.2497,11.6,3.7,mb,Central Coast Cluster,Central Coast
aftershock_0057,2026-06-24 22:26:17,1782354377089,10.3621,-67.2649,14.4,3.3,mb,Central Coast Cluster,Central Coast
aftershock_0058,2026-06-24 22:26:27,1782354387844,10.7176,-67.1312,16.3,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0059,2026-06-24 22:26:33,1782354393636,10.2093,-68.5275,4.4,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0060,2026-06-24 22:26:42,1782354402351,10.7392,-67.1437,3.4,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0061,2026-06-24 22:27:34,1782354454583,10.3253,-68.4659,18.7,3.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0062,2026-06-24 22:27:44,1782354464156,10.2708,-68.5654,11.5,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0063,2026-06-24 22:27:47,1782354467293,10.5869,-67.1617,9.1,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0064,2026-06-24 22:28:44,1782354524876,10.341,-67.8743,5.9,3.0,mb,Corridor Cluster,Corridor
aftershock_0065,2026-06-24 22:28:51,1782354531693,10.7561,-67.2991,6.9,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0066,2026-06-24 22:28:58,1782354538608,10.3677,-68.4394,9.0,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0067,2026-06-24 22:29:31,1782354571583,10.8608,-67.1983,8.3,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0068,2026-06-24 22:31:08,1782354668804,10.2882,-68.5997,13.2,3.0,mb,Yaracuy Cluster,Yaracuy
aftershock_0069,2026-06-24 22:31:53,1782354713899,10.7663,-68.4519,11.4,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0070,2026-06-24 22:32:18,1782354738077,10.7872,-67.2416,8.1,3.1,mb,Central Coast Cluster,Central Coast
aftershock_0071,2026-06-24 22:33:06,1782354786672,10.4047,-68.5518,9.3,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0072,2026-06-24 22:33:58,1782354838631,10.9584,-67.2602,10.7,3.3,mb,Central Coast Cluster,Central Coast
aftershock_0073,2026-06-24 22:34:03,1782354843085,10.141,-68.5081,12.2,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0074,2026-06-24 22:34:24,1782354864931,10.9102,-67.2681,11.5,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0075,2026-06-24 22:34:35,1782354875070,10.1315,-68.5764,8.2,3.4,mb,Yaracuy Cluster,Yaracuy
aftershock_0076,2026-06-24 22:34:49,1782354889221,10.4132,-68.4767,4.2,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0077,2026-06-24 22:35:03,1782354903757,10.8091,-67.8363,3.5,2.6,mb,Corridor Cluster,Corridor
aftershock_0078,2026-06-24 22:35:21,1782354921119,10.177,-68.5477,13.7,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0079,2026-06-24 22:35:27,1782354927204,10.3657,-68.6093,4.3,3.1,mb,Yaracuy Cluster,Yaracuy
aftershock_0080,2026-06-24 22:36:16,1782354976378,10.4713,-67.3276,14.8,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0081,2026-06-24 22:38:12,1782355092848,10.6945,-67.1346,11.1,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0082,2026-06-24 22:42:28,1782355348585,10.532,-67.2506,8.7,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0083,2026-06-24 22:43:18,1782355398898,9.8883,-68.5993,6.0,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0084,2026-06-24 22:43:34,1782355414080,10.4257,-68.4113,14.1,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0085,2026-06-24 22:43:55,1782355435801,10.1983,-67.2515,3.0,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0086,2026-06-24 22:44:49,1782355489783,10.6462,-67.0812,8.5,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0087,2026-06-24 22:45:40,1782355540157,10.3917,-67.2737,13.0,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0088,2026-06-24 22:50:47,1782355847426,10.9177,-67.1711,11.5,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0089,2026-06-24 22:50:48,1782355848120,10.527,-67.2399,8.9,3.5,mb,Central Coast Cluster,Central Coast
aftershock_0090,2026-06-24 22:51:00,1782355860170,10.2582,-68.564,10.2,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0091,2026-06-24 22:53:08,1782355988155,10.3309,-68.4438,9.3,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0092,2026-06-24 22:53:20,1782356000456,10.7259,-67.2429,11.2,3.1,mb,Central Coast Cluster,Central Coast
aftershock_0093,2026-06-24 22:53:32,1782356012619,10.0978,-67.4974,7.0,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0094,2026-06-24 22:54:11,1782356051828,10.4689,-68.5501,6.4,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0095,2026-06-24 22:57:34,1782356254223,10.4231,-68.451,13.8,3.3,mb,Yaracuy Cluster,Yaracuy
aftershock_0096,2026-06-24 22:58:06,1782356286898,10.3435,-68.5577,11.7,3.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0097,2026-06-24 22:59:32,1782356372833,10.4867,-67.9505,13.4,2.6,mb,Corridor Cluster,Corridor
aftershock_0098,2026-06-24 22:59:35,1782356375828,10.6922,-67.2623,14.2,3.6,mb,Central Coast Cluster,Central Coast
aftershock_0099,2026-06-24 23:00:10,1782356410708,10.1509,-68.638,7.3,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0100,2026-06-24 23:01:41,1782356501185,10.6752,-67.1822,11.2,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0101,2026-06-24 23:01:52,1782356512144,10.6099,-67.9,12.0,2.8,mb,Corridor Cluster,Corridor
aftershock_0102,2026-06-24 23:04:20,1782356660711,10.4594,-68.5567,5.7,4.1,Mw,Yaracuy Cluster,Yaracuy
aftershock_0103,2026-06-24 23:05:15,1782356715346,10.7925,-67.2112,14.5,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0104,2026-06-24 23:06:06,1782356766032,10.3116,-68.4998,10.1,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0105,2026-06-24 23:07:04,1782356824840,10.076,-68.4517,6.9,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0106,2026-06-24 23:07:06,1782356826673,10.6997,-68.4029,5.4,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0107,2026-06-24 23:12:24,1782357144652,10.3995,-68.4521,13.8,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0108,2026-06-24 23:12:45,1782357165407,11.0047,-67.1984,8.9,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0109,2026-06-24 23:12:52,1782357172686,10.4834,-67.2191,6.0,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0110,2026-06-24 23:14:37,1782357277508,10.0486,-68.619,18.5,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0111,2026-06-24 23:15:14,1782357314737,10.7811,-67.209,9.1,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0112,2026-06-24 23:23:51,1782357831326,10.6086,-67.789,9.0,2.9,mb,Corridor Cluster,Corridor
aftershock_0113,2026-06-24 23:26:21,1782357981662,10.3651,-67.1715,13.4,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0114,2026-06-24 23:31:02,1782358262715,10.4531,-67.2912,4.5,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0115,2026-06-24 23:32:11,1782358331102,10.4262,-67.1178,9.5,3.4,mb,Central Coast Cluster,Central Coast
aftershock_0116,2026-06-24 23:32:42,1782358362293,10.5605,-67.2145,5.3,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0117,2026-06-24 23:34:26,1782358466485,10.6297,-67.1281,14.9,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0118,2026-06-24 23:35:34,1782358534731,10.5823,-67.212,8.5,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0119,2026-06-24 23:36:15,1782358575988,10.8991,-67.7956,9.0,2.6,mb,Corridor Cluster,Corridor
aftershock_0120,2026-06-24 23:43:13,1782358993772,10.4423,-68.4018,16.1,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0121,2026-06-24 23:43:33,1782359013592,10.5386,-67.2642,12.6,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0122,2026-06-24 23:45:12,1782359112600,10.2151,-68.5093,14.4,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0123,2026-06-24 23:47:12,1782359232243,10.6518,-67.1353,17.8,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0124,2026-06-24 23:47:22,1782359242942,10.1084,-68.5847,11.4,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0125,2026-06-24 23:49:05,1782359345688,10.6522,-68.5491,4.6,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0126,2026-06-24 23:52:28,1782359548532,10.4271,-68.4846,19.0,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0127,2026-06-24 23:53:54,1782359634814,10.6162,-67.7868,5.0,2.6,mb,Corridor Cluster,Corridor
aftershock_0128,2026-06-24 23:54:47,1782359687832,10.1171,-67.3256,15.7,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0129,2026-06-24 23:56:14,1782359774461,10.1241,-68.5,7.9,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0130,2026-06-25 00:02:10,1782360130920,10.5523,-67.225,4.6,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0131,2026-06-25 00:03:00,1782360180683,10.6578,-67.9262,5.9,2.5,mb,Corridor Cluster,Corridor
aftershock_0132,2026-06-25 00:09:32,1782360572153,10.3045,-67.371,11.5,3.2,mb,Central Coast Cluster,Central Coast
aftershock_0133,2026-06-25 00:15:30,1782360930744,10.6164,-67.1487,6.5,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0134,2026-06-25 00:16:04,1782360964406,10.7598,-67.1639,6.8,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0135,2026-06-25 00:24:13,1782361453623,10.9217,-67.0569,8.1,3.4,mb,Central Coast Cluster,Central Coast
aftershock_0136,2026-06-25 00:25:42,1782361542687,10.0778,-68.6254,10.5,3.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0137,2026-06-25 00:26:41,1782361601147,10.4109,-67.2494,8.2,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0138,2026-06-25 00:26:52,1782361612494,10.7012,-67.2325,13.3,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0139,2026-06-25 00:27:57,1782361677151,10.1288,-68.4883,7.5,3.2,mb,Yaracuy Cluster,Yaracuy
aftershock_0140,2026-06-25 00:28:09,1782361689835,10.3817,-67.7741,11.8,3.1,mb,Corridor Cluster,Corridor
aftershock_0141,2026-06-25 00:31:29,1782361889971,10.8253,-68.3508,12.9,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0142,2026-06-25 00:32:32,1782361952987,10.609,-67.2042,9.7,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0143,2026-06-25 00:33:33,1782362013312,10.4994,-68.5137,8.2,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0144,2026-06-25 00:37:30,1782362250387,10.3244,-68.5407,6.9,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0145,2026-06-25 00:39:21,1782362361421,10.3827,-68.5081,9.2,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0146,2026-06-25 00:40:30,1782362430825,10.5479,-67.8368,12.9,2.7,mb,Corridor Cluster,Corridor
aftershock_0147,2026-06-25 00:41:52,1782362512242,10.4399,-67.2659,3.0,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0148,2026-06-25 00:42:21,1782362541500,10.3775,-68.4615,9.3,3.1,mb,Yaracuy Cluster,Yaracuy
aftershock_0149,2026-06-25 00:43:27,1782362607605,10.4806,-68.4838,3.7,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0150,2026-06-25 00:51:57,1782363117164,10.423,-67.1644,9.5,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0151,2026-06-25 00:56:33,1782363393644,10.7227,-67.0872,6.6,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0152,2026-06-25 00:57:04,1782363424607,10.4582,-68.4715,15.2,3.4,mb,Yaracuy Cluster,Yaracuy
aftershock_0153,2026-06-25 01:06:08,1782363968939,10.2436,-68.4973,8.7,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0154,2026-06-25 01:07:12,1782364032897,10.2128,-68.5041,10.6,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0155,2026-06-25 01:11:07,1782364267976,10.2182,-67.3322,11.7,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0156,2026-06-25 01:15:00,1782364500545,10.8516,-68.3318,9.2,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0157,2026-06-25 01:16:39,1782364599913,10.6284,-68.4351,13.1,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0158,2026-06-25 01:18:09,1782364689929,10.5291,-68.4368,3.0,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0159,2026-06-25 01:18:41,1782364721381,10.5487,-68.42,10.4,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0160,2026-06-25 01:19:50,1782364790140,10.1275,-68.5418,12.0,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0161,2026-06-25 01:20:58,1782364858764,9.9668,-68.6966,5.8,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0162,2026-06-25 01:24:25,1782365065478,10.3595,-68.4913,16.0,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0163,2026-06-25 01:24:49,1782365089101,10.1567,-68.3989,11.0,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0164,2026-06-25 01:28:00,1782365280522,10.5456,-67.8045,13.6,2.7,mb,Corridor Cluster,Corridor
aftershock_0165,2026-06-25 01:28:14,1782365294846,10.1856,-67.2442,9.7,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0166,2026-06-25 01:28:21,1782365301611,10.8449,-67.2096,11.0,3.4,mb,Central Coast Cluster,Central Coast
aftershock_0167,2026-06-25 01:33:44,1782365624026,10.438,-67.2405,5.8,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0168,2026-06-25 01:37:29,1782365849219,10.6405,-67.336,10.5,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0169,2026-06-25 01:49:09,1782366549907,10.4166,-68.4641,7.2,3.1,mb,Yaracuy Cluster,Yaracuy
aftershock_0170,2026-06-25 01:49:50,1782366590622,10.6639,-68.5213,7.7,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0171,2026-06-25 01:51:42,1782366702081,10.4791,-67.1903,11.0,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0172,2026-06-25 01:54:55,1782366895215,10.4309,-67.3006,7.4,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0173,2026-06-25 01:55:24,1782366924053,10.2732,-67.2219,11.0,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0174,2026-06-25 02:10:46,1782367846865,10.3685,-67.2732,17.6,3.1,mb,Central Coast Cluster,Central Coast
aftershock_0175,2026-06-25 02:14:07,1782368047507,10.7041,-68.5507,12.6,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0176,2026-06-25 02:24:18,1782368658186,10.7475,-67.148,7.1,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0177,2026-06-25 02:25:54,1782368754573,10.2639,-67.8231,3.9,2.6,mb,Corridor Cluster,Corridor
aftershock_0178,2026-06-25 02:29:28,1782368968040,10.0986,-67.2727,9.0,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0179,2026-06-25 02:31:37,1782369097220,10.0259,-67.9764,11.1,2.9,mb,Corridor Cluster,Corridor
aftershock_0180,2026-06-25 02:33:05,1782369185926,10.6661,-67.1765,11.0,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0181,2026-06-25 02:40:29,1782369629058,10.9091,-67.1355,13.1,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0182,2026-06-25 02:46:29,1782369989598,10.7903,-67.1793,5.5,4.3,Mw,Central Coast Cluster,Central Coast
aftershock_0183,2026-06-25 02:49:31,1782370171102,10.4467,-67.8515,12.8,2.9,mb,Corridor Cluster,Corridor
aftershock_0184,2026-06-25 02:49:40,1782370180177,10.5081,-68.5511,10.1,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0185,2026-06-25 02:55:03,1782370503427,11.2021,-67.1703,3.4,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0186,2026-06-25 02:56:09,1782370569942,10.6292,-67.2484,11.3,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0187,2026-06-25 02:59:20,1782370760618,10.4465,-67.2611,9.1,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0188,2026-06-25 03:04:37,1782371077220,10.3636,-68.4884,7.0,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0189,2026-06-25 03:05:15,1782371115443,10.6497,-67.0917,12.5,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0190,2026-06-25 03:05:25,1782371125745,10.6959,-68.5154,7.9,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0191,2026-06-25 03:06:02,1782371162452,10.2153,-67.1892,8.4,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0192,2026-06-25 03:07:44,1782371264200,10.2122,-67.9849,8.6,3.4,mb,Corridor Cluster,Corridor
aftershock_0193,2026-06-25 03:09:21,1782371361366,9.9071,-68.025,15.9,2.5,mb,Corridor Cluster,Corridor
aftershock_0194,2026-06-25 03:31:18,1782372678656,10.1914,-68.4385,14.4,2.8,mb,Yaracuy Cluster,Yaracuy
aftershock_0195,2026-06-25 03:33:54,1782372834261,10.6362,-67.1342,17.7,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0196,2026-06-25 03:35:32,1782372932862,10.3219,-68.6024,17.0,4.2,Mw,Yaracuy Cluster,Yaracuy
aftershock_0197,2026-06-25 03:39:18,1782373158239,11.0292,-67.1923,7.8,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0198,2026-06-25 03:40:38,1782373238555,10.802,-67.1062,10.0,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0199,2026-06-25 03:42:01,1782373321902,10.605,-68.419,13.3,3.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0200,2026-06-25 03:52:31,1782373951976,10.7608,-67.0905,9.3,3.3,mb,Central Coast Cluster,Central Coast
aftershock_0201,2026-06-25 04:07:38,1782374858942,10.1859,-68.5242,11.7,3.2,mb,Yaracuy Cluster,Yaracuy
aftershock_0202,2026-06-25 04:38:44,1782376724821,10.2379,-67.191,16.5,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0203,2026-06-25 04:43:12,1782376992389,10.5137,-67.2338,14.0,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0204,2026-06-25 04:50:16,1782377416660,10.3237,-68.623,15.4,3.0,mb,Yaracuy Cluster,Yaracuy
aftershock_0205,2026-06-25 05:05:52,1782378352466,10.0521,-68.4845,8.2,3.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0206,2026-06-25 05:13:11,1782378791848,10.8015,-67.1874,9.5,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0207,2026-06-25 05:29:05,1782379745120,10.5918,-68.449,8.7,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0208,2026-06-25 05:39:18,1782380358400,10.6887,-67.1012,3.0,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0209,2026-06-25 05:40:51,1782380451698,10.4106,-68.4698,3.0,3.1,mb,Yaracuy Cluster,Yaracuy
aftershock_0210,2026-06-25 05:43:10,1782380590795,10.5515,-67.1658,11.6,2.6,mb,Central Coast Cluster,Central Coast
